LOCATION,NAME,FACILITY_TYPE,WEBLINK,FACILITY_SUBTYPE,FACILITYID,LONGITUDE,LATITUDE
 13313 68 Ave,Unwin Park Water Park,Water Park,http://www.surrey.ca/culture-recreation/15217.aspx,,1001440931,-122.8540039649268,49.12716325956224
 15802 80 Ave,Fleetwood Park Water Park,Water Park,http://www.surrey.ca/culture-recreation/2113.aspx,,1001440946,-122.78286503559524,49.14785682700704
 15920 110 Ave,Erma Stephenson Park Water Park,Water Park,http://www.surrey.ca/culture-recreation/2149.aspx,,1001440929,-122.78105689740502,49.201938101789295
 11475 126A St,Bridgeview Park Water Park,Water Park,http://www.surrey.ca/culture-recreation/2085.aspx,,1001440938,-122.8713392475807,49.210128162627335
 6330 168 St,Cloverdale Athletic Park Water Park,Water Park,http://www.surrey.ca/culture-recreation/15217.aspx,,1001440952,-122.75328521486986,49.11582251296309
 5850 146 St,Goldstone Park Water Park,Water Park,,,1001441046,-122.81708016848978,49.10858378921026
 7080 190 St,Hazelgrove Park Water Park,Water Park,,,1001799743,-122.69568445912046,49.13192685722102
 1925 148 St, Water Park,Water Park,,,1001908344,-122.81641895822146,49.04055722205778
 7395 128 St,Newton Athletic Park Water Park,Water Park,,,1001883987,-122.87007974862804,49.13570677543141
 10503 144 St,Hawthorne Park Water Park,Water Park,http://www.surrey.ca/culture-recreation/15217.aspx,,1001440945,-122.82463436258125,49.19337320926814
 13750 88 Ave,Bear Creek Park Water Park,Water Park,,,1001440948,-122.8404389930572,49.16029514666066
 5381 125A St,Joe Brown Park - Off-Leash-Area Large Dogs,Dog Off-Leash,,,1002325421,-122.88374453249138,49.10078363986427
 5381 125A St,Joe Brown Park - Off-Leash-Area Small Dogs,Dog Off-Leash,,,1002325420,-122.88429583362819,49.10032222512695
 3136 McBride Ave,Blackie Spit Dog Off-Leash Swimming Beach,Dog Off-Leash,http://www.surrey.ca/culture-recreation/2201.aspx,,1001754713,-122.87992600089932,49.060239949804675
 10635 140 St,Forsyth Park Dog-Off-Leash Area,Dog Off-Leash,,,1001953443,-122.83494376342526,49.19586747422995
 10761 Dyke Rd,Tannery Dog-Off-Leash Area,Dog Off-Leash,http://www.surrey.ca/culture-recreation/2092.aspx,,1001716829,-122.8994991175117,49.19859264422309
 12863 60 Ave,Panorama Dog-Off-Leash Area,Dog Off-Leash,,,1001752851,-122.86487712397069,49.11225864527375
 15452 84 Ave,Freedom Dog-Off-Leash Area,Dog Off-Leash,http://www.surrey.ca/culture-recreation/2109.aspx,,1001781255,-122.79392328215549,49.15461473345722
 13485 20 Ave,Dogwood Dog-Off-Leash Area,Dog Off-Leash,http://www.surrey.ca/culture-recreation/2184.aspx,,1001716840,-122.84863211389315,49.040202540384826
 9058 Holt Rd,Kennedy Dog-Off-Leash Area,Dog Off-Leash,http://www.surrey.ca/culture-recreation/2078.aspx,,1001754712,-122.88489259585859,49.167404965158696
 7011 188 St,Clayton Dog-Off-Leash Area,Dog Off-Leash,http://www.surrey.ca/culture-recreation/7065.aspx,,1001757586,-122.70311603412884,49.13033893298804
 10503 144 St,Hawthorne Park Dog-Off-Leash Area,Dog Off-Leash,,,1002195843,-122.82665383135424,49.19748649973687
,Tynehead Dog-Off-Leash Area,Dog Off-Leash,http://www.surrey.ca/culture-recreation/2135.aspx,,1001757587,-122.75911135354279,49.18213312071819
 13750 - 88 Ave,Bear Creek Park Off-Leash Area,Dog Off-Leash,,,1002212867,-122.84508206709906,49.160116937998474
 15999 28 Ave,Wills Brook Dog-Off Leash Area,Dog Off-Leash,,,1001936551,-122.77972191586132,49.05553053710111
 3136 McBride Ave,Blackie Spit Dog-Off-Leash Area,Dog Off-Leash,http://www.surrey.ca/culture-recreation/2201.aspx,,1001716832,-122.88024793256645,49.058139602529685
 11210 159A St,Fraser View Dog-Off-Leash Area,Dog Off-Leash,,,1002270590,-122.77683325080616,49.20669431878591
 13591 Crestview Dr,Bolivar Dog-Off-Leash Area,Dog Off-Leash,,,1001971400,-122.847464826835,49.210880348271694
,Serpentine Dog-Off-Leash Area,Dog Off-Leash,http://www.surrey.ca/culture-recreation/2069.aspx,,1001716912,-122.87351479556618,49.142065802421335
 14900 35 Ave,,Dog Off-Leash,,,1002321475,-122.8074733749149,49.06426805330229
16126 93A AVE,Serpentine Heights Elementary School,School,https://www.surreyschools.ca/schools/serpentineheights/Pages/default.aspx,Elementary,1001282866,-122.77544797699417,49.17259997694293
19233 60 AVE,Latimer Road Elementary School,School,https://www.surreyschools.ca/schools/latimerroad/Pages/default.aspx,Elementary,1001283054,-122.68996915781405,49.11200140867659
7079 148 ST,T.E. Scott Elementary School,School,https://www.surreyschools.ca/schools/tescott/Pages/default.aspx,Elementary,1001262103,-122.81275735831984,49.13137619937878
13266 70B AVE,W.E. Kinvig Elementary School,School,https://www.surreyschools.ca/schools/wekinvig/Pages/default.aspx,Elementary,1001269418,-122.85451679203504,49.13052944867351
,Hampton Inn & Suites by Hilton,Hotel,http://hamptoninn3.hilton.com/en/hotels/british-columbia/hampton-inn-and-suites-by-hilton-langley-surrey-YNJBCHX/index.html,,1001268526,-122.68246396483316,49.10792182989948
10441 132 ST,Kwantlen Park Secondary School,School,https://www.surreyschools.ca/schools/kwantlenpark/Pages/default.aspx,Secondary,1001274245,-122.85784167659082,49.19258303681268
14245 56 AVE,RCMP Main Reception,RCMP,http://www.surrey.ca,,1001222961,-122.8280917772126,49.10578826193338
6225 136 ST,Traditional Learning Academy Homeschool Centre,School,http://schoolathome.ca/,Private,1001254142,-122.84583075178844,49.11599009564713
10135 132 ST,Old Yale Road Elementary School,School,https://www.surreyschools.ca/schools/oldyaleroad/Pages/default.aspx,Elementary,1001251851,-122.85759018030983,49.18685621662749
